Gene stable ID,Interpro ID,Interpro Description
WBGene00000001,IPR000980,SH2 domain
WBGene00000001,IPR036860,SH2 domain superfamily
WBGene00000002,IPR002293,Amino acid/polyamine transporter I
WBGene00000003,IPR002293,Amino acid/polyamine transporter I
WBGene00000004,IPR002293,Amino acid/polyamine transporter I
WBGene00000005,IPR002293,Amino acid/polyamine transporter I
WBGene00000006,IPR002293,Amino acid/polyamine transporter I
WBGene00000007,IPR002293,Amino acid/polyamine transporter I
WBGene00000008,IPR002293,Amino acid/polyamine transporter I
WBGene00000009,IPR002293,Amino acid/polyamine transporter I
WBGene00000010,IPR002293,Amino acid/polyamine transporter I
WBGene00000012,IPR031770,Antibacterial factor-related peptide
WBGene00000012,IPR038204,Antibacterial factor-related peptide superfamily
WBGene00000013,IPR031770,Antibacterial factor-related peptide
WBGene00000013,IPR038204,Antibacterial factor-related peptide superfamily
WBGene00000014,,
WBGene00000015,,
WBGene00000016,,
WBGene00000017,,
WBGene00000018,IPR000719,Protein kinase domain
WBGene00000018,IPR000980,SH2 domain
WBGene00000018,IPR001245,"Serine-threonine/tyrosine-protein kinase, catalytic domain"
WBGene00000018,IPR001452,SH3 domain
WBGene00000018,IPR008266,"Tyrosine-protein kinase, active site"
WBGene00000018,IPR011009,Protein kinase-like domain superfamily
WBGene00000018,IPR015015,F-actin binding
WBGene00000018,IPR017441,"Protein kinase, ATP binding site"
WBGene00000018,IPR020635,"Tyrosine-protein kinase, catalytic domain"
WBGene00000018,IPR033221,Tyrosine-protein kinase ABL1/transforming protein Abl
WBGene00000018,IPR035837,"Tyrosine-protein kinase ABL, SH2 domain"
WBGene00000018,IPR036028,SH3-like domain superfamily
WBGene00000018,IPR036860,SH2 domain superfamily
WBGene00000019,IPR003439,ABC transporter-like
WBGene00000019,IPR026082,ABC transporter A
WBGene00000019,IPR027417,P-loop containing nucleoside triphosphate hydrolase
WBGene00000020,IPR003439,ABC transporter-like
WBGene00000020,IPR003593,AAA+ ATPase domain
WBGene00000020,IPR017871,"ABC transporter, conserved site"
WBGene00000020,IPR026082,ABC transporter A
WBGene00000020,IPR027417,P-loop containing nucleoside triphosphate hydrolase
WBGene00000022,IPR003439,ABC transporter-like
WBGene00000022,IPR003593,AAA+ ATPase domain
WBGene00000022,IPR017871,"ABC transporter, conserved site"
WBGene00000022,IPR026082,ABC transporter A
WBGene00000022,IPR027417,P-loop containing nucleoside triphosphate hydrolase
WBGene00000023,IPR003439,ABC transporter-like
WBGene00000023,IPR003593,AAA+ ATPase domain
WBGene00000023,IPR017871,"ABC transporter, conserved site"
WBGene00000023,IPR026082,ABC transporter A
WBGene00000023,IPR027417,P-loop containing nucleoside triphosphate hydrolase
WBGene00000024,,
WBGene00000025,,
WBGene00000027,IPR009475,Protein of unknown function DUF1096
WBGene00000028,IPR009475,Protein of unknown function DUF1096
WBGene00000029,,
WBGene00000030,,
WBGene00000031,,
WBGene00000032,,
WBGene00000033,IPR009475,Protein of unknown function DUF1096
WBGene00000034,,
WBGene00000035,IPR000997,Cholinesterase
WBGene00000035,IPR002018,"Carboxylesterase, type B"
WBGene00000035,IPR019819,"Carboxylesterase type B, conserved site"
WBGene00000035,IPR019826,"Carboxylesterase type B, active site"
WBGene00000035,IPR029058,Alpha/Beta hydrolase fold
WBGene00000036,IPR000997,Cholinesterase
WBGene00000036,IPR002018,"Carboxylesterase, type B"
WBGene00000036,IPR019826,"Carboxylesterase type B, active site"
WBGene00000036,IPR029058,Alpha/Beta hydrolase fold
WBGene00000037,IPR000997,Cholinesterase
WBGene00000037,IPR002018,"Carboxylesterase, type B"
WBGene00000037,IPR019819,"Carboxylesterase type B, conserved site"
WBGene00000037,IPR019826,"Carboxylesterase type B, active site"
WBGene00000037,IPR029058,Alpha/Beta hydrolase fold
WBGene00000038,IPR000997,Cholinesterase
WBGene00000038,IPR002018,"Carboxylesterase, type B"
WBGene00000038,IPR019819,"Carboxylesterase type B, conserved site"
WBGene00000038,IPR019826,"Carboxylesterase type B, active site"
WBGene00000038,IPR029058,Alpha/Beta hydrolase fold
WBGene00000039,IPR001548,"Peptidase M2, peptidyl-dipeptidase A"
WBGene00000039,,
WBGene00000040,IPR000573,"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain"
WBGene00000040,IPR001030,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"
WBGene00000040,IPR006249,Aconitase/Iron-responsive element-binding protein 2
WBGene00000040,IPR015928,"Aconitase/3-isopropylmalate dehydratase, swivel"
WBGene00000040,IPR015931,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3"
WBGene00000040,IPR018136,"Aconitase family, 4Fe-4S cluster binding site"
WBGene00000040,IPR036008,"Aconitase, iron-sulfur domain"
WBGene00000041,IPR000573,"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain"
WBGene00000041,IPR001030,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"
WBGene00000041,IPR006248,"Aconitase, mitochondrial-like"
WBGene00000041,IPR015928,"Aconitase/3-isopropylmalate dehydratase, swivel"
WBGene00000041,IPR015931,"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3"
WBGene00000041,IPR015932,"Aconitase, domain 2"
WBGene00000041,IPR018136,"Aconitase family, 4Fe-4S cluster binding site"
WBGene00000041,IPR036008,"Aconitase, iron-sulfur domain"
WBGene00000042,IPR002394,Nicotinic acetylcholine receptor
WBGene00000042,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000042,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000042,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000042,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000042,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000042,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000043,IPR002394,Nicotinic acetylcholine receptor
WBGene00000043,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000043,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000043,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000043,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000043,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000043,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000044,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000044,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000044,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000044,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000044,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000045,IPR002394,Nicotinic acetylcholine receptor
WBGene00000045,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000045,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000045,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000045,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000045,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000045,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000046,IPR006029,Neurotransmitter-gated ion-channel transmembrane domain
WBGene00000046,IPR006201,Neurotransmitter-gated ion-channel
WBGene00000046,IPR006202,Neurotransmitter-gated ion-channel ligand-binding domain
WBGene00000046,IPR018000,"Neurotransmitter-gated ion-channel, conserved site"
WBGene00000046,IPR036719,Neurotransmitter-gated ion-channel transmembrane domain superfamily
WBGene00000046,IPR036734,Neurotransmitter-gated ion-channel ligand-binding domain superfamily
WBGene00000047,IPR002394,Nicotinic acetylcholine receptor
