ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Gene_name
cel01100	Metabolic pathways	145/235	414/981	3.9976064843192175e-12	2.678396344493876e-10	1.8515230032636379e-10	CELE_K04F1.15/CELE_T08B1.3/CELE_F56D12.1/CELE_C05D2.4/CELE_F32G8.6/CELE_C47D2.2/CELE_F49E8.4/CELE_C04F6.3/CELE_C47E12.8/CELE_K08F8.3/CELE_F37B12.2/CELE_C28D4.3/CELE_Y45F10D.3/CELE_B0416.6/CELE_T09F3.3/CELE_F33H1.2/CELE_Y48E1B.10/CELE_D1053.1/CELE_T03F6.5/CELE_Y56A3A.3/CELE_PAR2.4/CELE_Y37H9A.6/CELE_C03C10.3/CELE_D2096.4/CELE_K03A1.5/CELE_H13N06.6/CELE_B0001.4/CELE_B0250.5/CELE_C10C5.4/CELE_C11E4.1/CELE_C17G1.7/CELE_C31C9.2/CELE_C34F6.8/CELE_C36A4.9/CELE_C50B6.7/CELE_F02E9.7/CELE_F13G3.5/CELE_F22B8.6/CELE_F26E4.12/CELE_F52B11.2/CELE_F59B2.3/CELE_R03A10.4/CELE_R07B7.11/CELE_R102.4/CELE_T03D8.6/CELE_T03F6.1/CELE_T14D7.1/CELE_W06H3.3/CELE_Y37A1B.5/CELE_Y39A1C.4/CELE_Y39G8B.1/CELE_Y47D3A.23/CELE_Y48B6A.12/CELE_Y48G10A.1/CELE_Y51H1A.3/CELE_Y105E8B.9/CELE_ZC373.1/CELE_ZK632.4/CELE_B0041.6/CELE_B0228.7/CELE_B0280.3/CELE_B0303.3/CELE_C06A6.4/CELE_C06A8.1/CELE_C06E7.3/CELE_C15H9.7/CELE_C28H8.11/CELE_C29E4.7/CELE_C30F12.7/CELE_C34G6.2/CELE_C42C1.5/CELE_C42C1.11/CELE_C44E4.3/CELE_C50F7.10/CELE_E04F6.3/CELE_F08F8.7/CELE_F28A10.6/CELE_F55G1.9/CELE_F57C9.1/CELE_F59A7.9/CELE_K02D7.1/CELE_M02D8.4/CELE_R01H2.5/CELE_R08E5.2/CELE_R12C12.1/CELE_T03F1.8/CELE_T08G2.3/CELE_T09B4.8/CELE_T12A2.1/CELE_T25G12.5/CELE_W06B4.2/CELE_Y22D7AL.14/CELE_Y47D9A.1/CELE_Y54G2A.17/CELE_Y65B4A.8/CELE_Y71G12B.10/CELE_ZC395.10/CELE_ZC416.6/CELE_ZK783.2/CELE_C02D5.4/CELE_T21C12.2/CELE_T01C8.5/CELE_F13D12.2/CELE_R107.7/CELE_C46F11.2/CELE_C37H5.6/CELE_Y24D9A.8/CELE_K10B3.7/CELE_F46E10.10/CELE_F25H2.5/CELE_R11A5.4/CELE_K07E3.4/CELE_Y17G7B.7/CELE_F57B10.3/CELE_T14F9.3/CELE_K04D7.3/CELE_R05F9.6/CELE_ZK455.1/CELE_K10B3.8/CELE_C47B2.6/CELE_F01F1.12/CELE_T21B10.2/CELE_W05G11.6/CELE_Y43F4B.5/CELE_C16A3.10/CELE_K07A3.1/CELE_C33C12.3/CELE_C32F10.8/CELE_T05D4.1/CELE_R07H5.8/CELE_C55B7.4/CELE_LLC1.3/CELE_C05D11.11/CELE_Y87G2A.8/CELE_K12G11.3/CELE_K10C2.4/CELE_T20G5.2/CELE_T03F6.3/CELE_F59B8.2/CELE_T05G5.6/CELE_F20H11.3/CELE_F13D12.4/CELE_Y69F12A.2/CELE_F32D1.5/CELE_F29F11.1	145	alh-2,alh-5,alh-6,bas-1,cat-4,cdd-1,cdd-2,cht-1,dhp-2,fut-1,gcs-1,gln-6,gly-10,gly-13,gpd-1,gpd-4,gst-20,gst-42,lis-1,mif-1,mig-22,ndx-4,rnr-2,sqv-1,sur-5,tbh-1,B0001.4,B0250.5,C10C5.4,gpx-5,cysl-1,C31C9.2,idh-2,acs-19,C50B6.7,F02E9.7,ttx-7,cth-1,gpx-1,F52B11.2,F59B2.3,nkat-3,gana-1,R102.4,T03D8.6,qdpr-1,agxt-1,ctps-1,Y37A1B.5,hex-3,Y39G8B.1,gly-9,men-1,Y48G10A.1,Y51H1A.3,Y105E8B.9,cbs-1,ZK632.4,ptps-1,B0228.7,rpia-1,B0303.3,C06A6.4,mthf-1,sams-4,kynu-1,tdo-2,gsto-1,idhg-2,tyr-4,tag-335,ltah-1.1,got-2.1,klo-1,maoc-1,F08F8.7,acdh-9,F55G1.9,pdxk-1,cysl-4,K02D7.1,asns-2,ger-1,cysl-3,gldc-1,guk-1,acdh-10,T09B4.8,T12A2.1,acdh-7,W06B4.2,cht-4,Y47D9A.1,nprt-1,Y65B4A.8,Y71G12B.10,daf-41,ltah-1.2,upp-1,C02D5.4,hpd-1,got-1.2,ldh-1,gst-1,gsr-1,adss-1,tald-1,gpd-3,mdh-1,ndk-1,pck-2,K07E3.4,tpi-1,ipgm-1,hex-1,gta-1,R05F9.6,aco-1,gpd-2,gale-1,aldo-2,enol-1,pck-1,Y43F4B.5,oatr-1,fbp-1,gba-1,C32F10.8,aldo-1,R07H5.8,acdh-1,dld-1,mel-32,gpi-1,sodh-1,fah-1,cts-1,T03F6.3,idh-1,ech-6,mdh-2,alh-8,alh-12,F32D1.5,sqv-4
cel01230	Biosynthesis of amino acids	34/235	51/981	3.261117690021541e-11	1.0924744261572162e-9	7.552062018997253e-10	CELE_C28D4.3/CELE_T09F3.3/CELE_F33H1.2/CELE_C10C5.4/CELE_C17G1.7/CELE_C31C9.2/CELE_C34F6.8/CELE_F22B8.6/CELE_R102.4/CELE_ZC373.1/CELE_B0280.3/CELE_C06A6.4/CELE_C06E7.3/CELE_C30F12.7/CELE_C44E4.3/CELE_F08F8.7/CELE_F55G1.9/CELE_F59A7.9/CELE_M02D8.4/CELE_R08E5.2/CELE_T01C8.5/CELE_Y24D9A.8/CELE_K10B3.7/CELE_Y17G7B.7/CELE_F57B10.3/CELE_ZK455.1/CELE_K10B3.8/CELE_F01F1.12/CELE_T21B10.2/CELE_C32F10.8/CELE_T05D4.1/CELE_C05D11.11/CELE_T20G5.2/CELE_F59B8.2	34	gln-6,gpd-1,gpd-4,C10C5.4,cysl-1,C31C9.2,idh-2,cth-1,R102.4,cbs-1,rpia-1,C06A6.4,sams-4,idhg-2,got-2.1,F08F8.7,F55G1.9,cysl-4,asns-2,cysl-3,got-1.2,tald-1,gpd-3,tpi-1,ipgm-1,aco-1,gpd-2,aldo-2,enol-1,C32F10.8,aldo-1,mel-32,cts-1,idh-1
cel00010	Glycolysis / Gluconeogenesis	22/235	34/981	3.164379044923367e-7	7.067113200328852e-6	4.885357121986953e-6	CELE_K04F1.15/CELE_T08B1.3/CELE_T09F3.3/CELE_F33H1.2/CELE_C36A4.9/CELE_F13D12.2/CELE_K10B3.7/CELE_R11A5.4/CELE_Y17G7B.7/CELE_F57B10.3/CELE_R05F9.6/CELE_K10B3.8/CELE_F01F1.12/CELE_T21B10.2/CELE_W05G11.6/CELE_Y43F4B.5/CELE_K07A3.1/CELE_T05D4.1/CELE_LLC1.3/CELE_Y87G2A.8/CELE_K12G11.3/CELE_Y69F12A.2	22	alh-2,alh-5,gpd-1,gpd-4,acs-19,ldh-1,gpd-3,pck-2,tpi-1,ipgm-1,R05F9.6,gpd-2,aldo-2,enol-1,pck-1,Y43F4B.5,fbp-1,aldo-1,dld-1,gpi-1,sodh-1,alh-12
cel01200	Carbon metabolism	37/235	76/981	8.437497099241749e-7	1.4132807641229928e-5	9.76973348333255e-6	CELE_T09F3.3/CELE_F33H1.2/CELE_C17G1.7/CELE_C31C9.2/CELE_C34F6.8/CELE_C36A4.9/CELE_T14D7.1/CELE_Y48B6A.12/CELE_Y48G10A.1/CELE_B0280.3/CELE_C30F12.7/CELE_C44E4.3/CELE_F08F8.7/CELE_F59A7.9/CELE_R08E5.2/CELE_R12C12.1/CELE_T01C8.5/CELE_Y24D9A.8/CELE_K10B3.7/CELE_F46E10.10/CELE_Y17G7B.7/CELE_F57B10.3/CELE_ZK455.1/CELE_K10B3.8/CELE_F01F1.12/CELE_T21B10.2/CELE_K07A3.1/CELE_C32F10.8/CELE_T05D4.1/CELE_LLC1.3/CELE_C05D11.11/CELE_Y87G2A.8/CELE_T20G5.2/CELE_F59B8.2/CELE_T05G5.6/CELE_F20H11.3/CELE_F13D12.4	37	gpd-1,gpd-4,cysl-1,C31C9.2,idh-2,acs-19,agxt-1,men-1,Y48G10A.1,rpia-1,idhg-2,got-2.1,F08F8.7,cysl-4,cysl-3,gldc-1,got-1.2,tald-1,gpd-3,mdh-1,tpi-1,ipgm-1,aco-1,gpd-2,aldo-2,enol-1,fbp-1,C32F10.8,aldo-1,dld-1,mel-32,gpi-1,cts-1,idh-1,ech-6,mdh-2,alh-8
cel00520	Amino sugar and nucleotide sugar metabolism	17/235	25/981	2.831065869469673e-6	3.793628265089362e-5	2.622461015929802e-5	CELE_C04F6.3/CELE_D2096.4/CELE_F52B11.2/CELE_F59B2.3/CELE_ZK632.4/CELE_C42C1.5/CELE_R01H2.5/CELE_W06B4.2/CELE_Y22D7AL.14/CELE_Y47D9A.1/CELE_T14F9.3/CELE_R05F9.6/CELE_C47B2.6/CELE_Y43F4B.5/CELE_Y87G2A.8/CELE_T03F6.3/CELE_F29F11.1	17	cht-1,sqv-1,F52B11.2,F59B2.3,ZK632.4,tag-335,ger-1,W06B4.2,cht-4,Y47D9A.1,hex-1,R05F9.6,gale-1,Y43F4B.5,gpi-1,T03F6.3,sqv-4
cel00270	Cysteine and methionine metabolism	16/235	24/981	8.489010099440052e-6	9.479394611041392e-5	6.552920076760742e-5	CELE_F37B12.2/CELE_C17G1.7/CELE_C31C9.2/CELE_F22B8.6/CELE_R03A10.4/CELE_ZC373.1/CELE_B0228.7/CELE_C06E7.3/CELE_C44E4.3/CELE_F59A7.9/CELE_R08E5.2/CELE_T09B4.8/CELE_T01C8.5/CELE_F13D12.2/CELE_F46E10.10/CELE_F20H11.3	16	gcs-1,cysl-1,C31C9.2,cth-1,nkat-3,cbs-1,B0228.7,sams-4,got-2.1,cysl-4,cysl-3,T09B4.8,got-1.2,ldh-1,mdh-1,mdh-2
cel00051	Fructose and mannose metabolism	10/235	12/981	2.2074851321370196e-5	2.1128786264740045e-4	1.460591666376374e-4	CELE_F52B11.2/CELE_Y39G8B.1/CELE_ZK632.4/CELE_C42C1.5/CELE_R01H2.5/CELE_Y47D9A.1/CELE_Y17G7B.7/CELE_F01F1.12/CELE_K07A3.1/CELE_T05D4.1	10	F52B11.2,Y39G8B.1,ZK632.4,tag-335,ger-1,Y47D9A.1,tpi-1,aldo-2,fbp-1,aldo-1
cel00350	Tyrosine metabolism	10/235	13/981	7.556137273445839e-5	5.353932653396845e-4	3.7010689198658473e-4	CELE_C05D2.4/CELE_D1053.1/CELE_Y56A3A.3/CELE_H13N06.6/CELE_C34G6.2/CELE_C44E4.3/CELE_T21C12.2/CELE_T01C8.5/CELE_K12G11.3/CELE_K10C2.4	10	bas-1,gst-42,mif-1,tbh-1,tyr-4,got-2.1,hpd-1,got-1.2,sodh-1,fah-1
cel01210	2-Oxocarboxylic acid metabolism	10/235	13/981	7.556137273445839e-5	5.353932653396845e-4	3.7010689198658473e-4	CELE_C10C5.4/CELE_C34F6.8/CELE_C06A6.4/CELE_C30F12.7/CELE_C44E4.3/CELE_T01C8.5/CELE_ZK455.1/CELE_C32F10.8/CELE_T20G5.2/CELE_F59B8.2	10	C10C5.4,idh-2,C06A6.4,idhg-2,got-2.1,got-1.2,aco-1,C32F10.8,cts-1,idh-1
cel01240	Biosynthesis of cofactors	24/235	49/981	7.990944258801261e-5	5.353932653396845e-4	3.7010689198658473e-4	CELE_K04F1.15/CELE_T08B1.3/CELE_F32G8.6/CELE_F37B12.2/CELE_F52B11.2/CELE_W06H3.3/CELE_Y105E8B.9/CELE_ZK632.4/CELE_B0041.6/CELE_C06E7.3/CELE_C15H9.7/CELE_C28H8.11/CELE_C42C1.5/CELE_F57C9.1/CELE_Y47D9A.1/CELE_Y54G2A.17/CELE_Y65B4A.8/CELE_T21C12.2/CELE_C37H5.6/CELE_F25H2.5/CELE_K07E3.4/CELE_LLC1.3/CELE_C05D11.11/CELE_F29F11.1	24	alh-2,alh-5,cat-4,gcs-1,F52B11.2,ctps-1,Y105E8B.9,ZK632.4,ptps-1,sams-4,kynu-1,tdo-2,tag-335,pdxk-1,Y47D9A.1,nprt-1,Y65B4A.8,hpd-1,adss-1,ndk-1,K07E3.4,dld-1,mel-32,sqv-4
cel00260	Glycine, serine and threonine metabolism	10/235	14/981	2.089875892450526e-4	0.0012729244072198658	8.799477441896952e-4	CELE_C31C9.2/CELE_F22B8.6/CELE_R102.4/CELE_T14D7.1/CELE_ZC373.1/CELE_R12C12.1/CELE_T09B4.8/CELE_F57B10.3/CELE_LLC1.3/CELE_C05D11.11	10	C31C9.2,cth-1,R102.4,agxt-1,cbs-1,gldc-1,T09B4.8,ipgm-1,dld-1,mel-32
cel03013	Nucleocytoplasmic transport	13/235	25/981	0.001963052750440501	0.01096037785662613	0.007576694826261583	CELE_Y48G1A.5/CELE_K07F5.13/CELE_ZK328.5/CELE_C03D6.4/CELE_F10G8.3/CELE_Y77E11A.13/CELE_C29E4.3/CELE_K12C11.2/CELE_F29B9.6/CELE_F53F10.5/CELE_F59A2.1/CELE_C53D5.6/CELE_K01G5.4	13	xpo-2,npp-1,npp-10,npp-14,rae-1,npp-20,ran-2,smo-1,ubc-9,npp-11,npp-9,imb-3,ran-1
cel00280	Valine, leucine and isoleucine degradation	16/235	34/981	0.002316066714494563	0.011936651528548904	0.008251573719656744	CELE_K04F1.15/CELE_T08B1.3/CELE_K03A1.5/CELE_B0250.5/CELE_B0303.3/CELE_F28A10.6/CELE_T08G2.3/CELE_T09B4.8/CELE_T25G12.5/CELE_Y71G12B.10/CELE_K04D7.3/CELE_C55B7.4/CELE_LLC1.3/CELE_T05G5.6/CELE_F13D12.4/CELE_Y69F12A.2	16	alh-2,alh-5,sur-5,B0250.5,B0303.3,acdh-9,acdh-10,T09B4.8,acdh-7,Y71G12B.10,gta-1,acdh-1,dld-1,ech-6,alh-8,alh-12
cel00240	Pyrimidine metabolism	10/235	18/981	0.0035786435773645852	0.017126365691673372	0.011839121609326448	CELE_C47D2.2/CELE_F49E8.4/CELE_C47E12.8/CELE_Y37H9A.6/CELE_C03C10.3/CELE_B0001.4/CELE_W06H3.3/CELE_K02D7.1/CELE_ZK783.2/CELE_F25H2.5	10	cdd-1,cdd-2,dhp-2,ndx-4,rnr-2,B0001.4,ctps-1,K02D7.1,upp-1,ndk-1
cel00030	Pentose phosphate pathway	9/235	16/981	0.005159760607056707	0.023046930711519958	0.015931892400736503	CELE_B0280.3/CELE_F08F8.7/CELE_Y24D9A.8/CELE_R05F9.6/CELE_F01F1.12/CELE_Y43F4B.5/CELE_K07A3.1/CELE_T05D4.1/CELE_Y87G2A.8	9	rpia-1,F08F8.7,tald-1,R05F9.6,aldo-2,Y43F4B.5,fbp-1,aldo-1,gpi-1
cel00250	Alanine, aspartate and glutamate metabolism	10/235	19/981	0.005984504300890019	0.023585987538801843	0.016304531841434107	CELE_F56D12.1/CELE_C28D4.3/CELE_T14D7.1/CELE_C44E4.3/CELE_M02D8.4/CELE_T09B4.8/CELE_T01C8.5/CELE_C37H5.6/CELE_K04D7.3/CELE_C32F10.8	10	alh-6,gln-6,agxt-1,got-2.1,asns-2,T09B4.8,got-1.2,adss-1,gta-1,C32F10.8
cel00630	Glyoxylate and dicarboxylate metabolism	10/235	19/981	0.005984504300890019	0.023585987538801843	0.016304531841434107	CELE_C28D4.3/CELE_C36A4.9/CELE_T14D7.1/CELE_R12C12.1/CELE_F46E10.10/CELE_ZK455.1/CELE_LLC1.3/CELE_C05D11.11/CELE_T20G5.2/CELE_F20H11.3	10	gln-6,acs-19,agxt-1,gldc-1,mdh-1,aco-1,dld-1,mel-32,cts-1,mdh-2
cel00330	Arginine and proline metabolism	9/235	17/981	0.008704404366645565	0.03239972736473627	0.022397297785520756	CELE_K04F1.15/CELE_T08B1.3/CELE_F56D12.1/CELE_C44E4.3/CELE_F55G1.9/CELE_W10C8.5/CELE_T01C8.5/CELE_C16A3.10/CELE_Y69F12A.2	9	alh-2,alh-5,alh-6,got-2.1,F55G1.9,W10C8.5,got-1.2,oatr-1,alh-12
cel00620	Pyruvate metabolism	12/235	27/981	0.014270232565644868	0.05032134641569506	0.03478616248689054	CELE_K04F1.15/CELE_T08B1.3/CELE_C36A4.9/CELE_Y48B6A.12/CELE_F13D12.2/CELE_F46E10.10/CELE_R11A5.4/CELE_W05G11.6/CELE_LLC1.3/CELE_K12G11.3/CELE_F20H11.3/CELE_Y69F12A.2	12	alh-2,alh-5,acs-19,men-1,ldh-1,mdh-1,pck-2,pck-1,dld-1,sodh-1,mdh-2,alh-12
cel00983	Drug metabolism - other enzymes	13/235	34/981	0.04206436399754904	0.13274276468545979	0.09176247676606804	CELE_C47D2.2/CELE_F49E8.4/CELE_C47E12.8/CELE_Y48E1B.10/CELE_C03C10.3/CELE_B0001.4/CELE_Y105E8B.9/CELE_C29E4.7/CELE_F13H6.3/CELE_ZK783.2/CELE_C02D5.4/CELE_R107.7/CELE_F25H2.5	13	cdd-1,cdd-2,dhp-2,gst-20,rnr-2,B0001.4,Y105E8B.9,gsto-1,F13H6.3,upp-1,C02D5.4,gst-1,ndk-1
